TractID,typetwo,typeone
01001020100,C2,C
01001020200,C2,C
01001020300,C1,C
01001020400,A,A
01001020500,B2,B
01001020600,C1,C
01001020700,C2,C
01001020801,A,A
01001020802,A,A
01001020900,A,A
01001021000,A,A
01001021100,A,A
01003010100,A,A
01003010200,A,A
01003010300,A,A
01003010400,A,A
01003010500,B3,B
01003010600,C2,C
01003010701,C2,C
01003010703,C1,C
01003010704,C1,C
01003010705,C1,C
01003010800,C2,C
01003010903,C1,C
01003010904,A,A
01003010905,C1,C
01003010906,C1,C
01003011000,A,A
01003011101,C1,C
01003011102,C1,C
01003011201,C2,C
01003011202,C2,C
01003011300,C1,C
01003011401,C1,C
01003011403,C1,C
01003011405,C2,C
01003011406,B3,B
01003011407,B2,B
01003011408,A,A
01003011501,B2,B
01003011502,B2,B
01003011601,A,A
01003011602,A,A
01005950100,A,A
01005950200,A,A
01005950300,A,A
01005950400,A,A
01005950500,C2,C
01005950600,A,A
01005950700,A,A
01005950800,A,A
01005950900,C2,C
01007010001,A,A
01007010002,A,A
01007010003,A,A
01007010004,A,A
01009050101,A,A
01009050102,A,A
01009050200,A,A
01009050300,A,A
01009050400,A,A
01009050500,A,A
01009050601,C1,C
01009050602,C1,C
01009050700,A,A
01011952100,A,A
01011952200,A,A
01011952500,A,A
01013952700,A,A
01013952800,C2,C
01013952900,C2,C
01013953000,A,A
01013953100,A,A
01013953200,A,A
01013953300,A,A
01013953400,A,A
01013953500,A,A
01015000200,C2,C
01015000300,B3,B
01015000400,A,A
01015000500,C2,C
01015000600,B2,B
01015000700,B3,B
01015000800,B3,B
01015000900,C1,C
01015001000,C2,C
01015001100,B3,B
01015001201,B3,B
01015001202,A,A
01015001300,C3,C
01015001400,A,A
01015001500,C2,C
01015001600,A,A
01015001700,C1,C
01015001800,C1,C
01015002000,A,A
01015002101,B2,B
01015002102,C2,C
01015002103,C2,C
01015002200,A,A
01015002300,A,A
01015002400,A,A
01015002501,C1,C
01015002502,A,A
01015002600,A,A
01017953800,A,A
01017953900,A,A
01017954000,A,A
01017954200,A,A
01017954300,A,A
01017954400,C2,C
01017954500,B2,B
01017954600,B2,B
01017954700,C2,C
01019955701,A,A
01019955702,A,A
01019955800,A,A
01019955900,A,A
01019956000,C2,C
01019956100,A,A
01021060101,C2,C
01021060102,C2,C
01021060200,A,A
01021060300,A,A
01021060401,C1,C
01021060402,A,A
01021060500,A,A
01021060600,A,A
01021060700,A,A
01023956700,A,A
01023956800,A,A
01023956900,A,A
01023957000,A,A
01025957500,A,A
01025957601,A,A
